"","type","year","educ","age","from_to","probability","count_from_to","count_from"
"320","empirical","2018","low",97,"partnered_partnered",0.46296295537037,25,54
"321","empirical","2018","low",97,"partnered_widowed",0.148148148518519,8,54
"322","empirical","2018","low",97,"unpartnered_dead",0.27952754,71,254
"323","empirical","2018","low",97,"unpartnered_unpartnered",0.72047246,183,254
"324","empirical","2018","low",97,"widowed_dead",0.295833334800873,497,1681
"325","empirical","2018","low",97,"widowed_partnered",0.00119047622859411,NA,1681
"326","empirical","2018","low",97,"widowed_widowed",0.702976188970533,1181,1681
"327","empirical","2018","low",98,"partnered_dead",0.375,6,16
"328","empirical","2018","low",98,"partnered_partnered",0.5,8,16
"329","empirical","2018","low",98,"partnered_widowed",0.125,NA,16
"330","empirical","2018","low",98,"unpartnered_dead",0.3888889,63,162
"331","empirical","2018","low",98,"unpartnered_unpartnered",0.6111111,99,162
"332","empirical","2018","low",98,"widowed_dead",0.32287449,319,988
"333","empirical","2018","low",98,"widowed_widowed",0.67712551,669,988
"334","empirical","2018","low",99,"partnered_dead",0.444444436666667,NA,9
"335","empirical","2018","low",99,"partnered_partnered",0.555555563333333,5,9
"336","empirical","2018","low",99,"unpartnered_dead",0.344086030322581,32,93
"337","empirical","2018","low",99,"unpartnered_unpartnered",0.655913969677419,61,93
"338","empirical","2018","low",99,"widowed_dead",0.333333345933334,192,576
"339","empirical","2018","low",99,"widowed_partnered",0.00347222226180556,NA,576
"340","empirical","2018","low",99,"widowed_widowed",0.663194431804861,382,576
"341","empirical","2018","low",100,"partnered_dead",0.166666665,NA,6
"342","empirical","2018","low",100,"partnered_partnered",0.66666667,NA,6
"343","empirical","2018","low",100,"partnered_widowed",0.166666665,NA,6
"344","empirical","2018","low",100,"unpartnered_dead",0.314285720571428,22,70
"345","empirical","2018","low",100,"unpartnered_unpartnered",0.685714279428572,48,70
"346","empirical","2018","low",100,"widowed_dead",0.378109451643781,152,402
"347","empirical","2018","low",100,"widowed_partnered",0.00248756204502488,NA,402
"348","empirical","2018","low",100,"widowed_widowed",0.619402986311194,249,402
"349","empirical","2018","mid",65,"partnered_dead",0.00517934111860691,107,20659
"350","empirical","2018","mid",65,"partnered_partnered",0.975991092350196,20163,20659
"351","empirical","2018","mid",65,"partnered_unpartnered",0.00643787224742727,133,20659
"352","empirical","2018","mid",65,"partnered_widowed",0.0123916942837698,256,20659
"353","empirical","2018","mid",65,"unpartnered_dead",0.0123371380727891,107,8673
"354","empirical","2018","mid",65,"unpartnered_partnered",0.00853222615034013,74,8673
